timestamp,timestamp_system,instrument,ltp,ltt,ltq,cp,atp,volume,total_buy_qty,total_sell_qty,open_day,high_day,low_day,close_day,open_1min,high_1min,low_1min,close_1min,vol_1min,bid1_price,bid1_qty,ask1_price,ask1_qty,bid2_price,bid2_qty,ask2_price,ask2_qty,bid3_price,bid3_qty,ask3_price,ask3_qty,bid4_price,bid4_qty,ask4_price,ask4_qty,bid5_price,bid5_qty,ask5_price,ask5_qty
2026-04-27 08:57:35.696,2026-04-27 08:57:35.927,NSE_EQ|INE018A01030,4014.3,1777026566252,100,4054.1,4011.6,2162213,280.0,0.0,4072.0,4088.1,3983.2,4014.3,4014.3,4014.5,4007.1,4012.0,10501,4014.3,280,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
2026-04-27 09:00:02.966,2026-04-27 09:00:03.046,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,44,1143.0,4795.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4050.0,1,4000.0,1,4045.0,1,4014.3,1,4031.2,3,4034.0,111,4029.0,5,4049.9,10,0.0,41,0.0,52
2026-04-27 09:00:10.467,2026-04-27 09:00:10.519,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,508,5996.0,13953.0,4014.3,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4255.2,10,3612.9,281,4194.5,30,3713.3,7,4082.0,5,3893.9,12,4054.4,30,3894.6,11,0.0,181,0.0,139
2026-04-27 09:00:17.667,2026-04-27 09:00:17.688,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1024,8840.0,16935.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,12,4094.6,5,3894.6,78,0.0,473,0.0,520
2026-04-27 09:00:24.266,2026-04-27 09:00:24.300,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1178,9561.0,20197.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,159,4094.6,5,3894.6,78,0.0,613,0.0,523
2026-04-27 09:00:30.116,2026-04-27 09:00:30.140,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1203,9681.0,21367.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,159,4094.6,5,3894.6,78,0.0,613,0.0,524
2026-04-27 09:00:35.366,2026-04-27 09:00:35.404,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,9762.0,21788.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:36.566,2026-04-27 09:00:36.631,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,9762.0,21793.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:37.616,2026-04-27 09:00:37.640,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,9807.0,21946.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:38.517,2026-04-27 09:00:38.541,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10165.0,22714.0,4015.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:39.716,2026-04-27 09:00:39.740,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10187.0,24145.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:40.766,2026-04-27 09:00:40.790,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10244.0,24451.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:41.665,2026-04-27 09:00:41.691,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10300.0,25317.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:42.715,2026-04-27 09:00:42.741,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10433.0,25524.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,616,0.0,526
2026-04-27 09:00:43.615,2026-04-27 09:00:43.641,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10451.0,25794.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,615,0.0,526
2026-04-27 09:00:44.679,2026-04-27 09:00:44.704,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1235,10462.0,25855.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,615,0.0,526
2026-04-27 09:00:45.715,2026-04-27 09:00:45.743,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1239,10467.0,26445.0,4015.5,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,615,0.0,526
2026-04-27 09:00:46.615,2026-04-27 09:00:46.642,NSE_EQ|INE018A01030,4012.0,1777026566000,100,4014.3,0.0,1290,15915.0,26896.0,4032.0,4012.0,4012.0,4012.0,0.0,0.0,0.0,0.0,0,4415.7,11,3612.9,281,4255.2,10,3713.3,7,4194.5,30,3893.9,186,4094.6,5,3894.6,78,0.0,615,0.0,526
